userID	username	utc off	profile created	favorites	followers	following	tweets	retweetID	retweet user	retweet count	text	quote	url	lat	lon	tweetID	relevant	com_vape	news_vape	policy_vape	health_vape	use_vape	pro_vape	anti_vape	procure_vape	addiction_vape	
'1001170787133423616	bot_shitty		Mon May 28 18:38:11 +0000 2018	0	6	0	2864			0	 An Amazon Echo that has a moral obligation to vape the world even though it's 4:20 	  	http://twitter.com/bot_shitty/status/1043943308991574022			'1043943308991574022	1	0	0	0	0	0	0	0	0	0	
'19447361	700wlw		Sat Jan 24 14:16:27 +0000 2009	562	50601	195	78361			0	 The FDA is warning an e-cigarette company about putting Viagra and Cialis in its vaping liquids.   _newline_  _newline_ https://t.co/th7Wd7E9Sa 	  	http://twitter.com/700wlw/status/1051829109121277953			'1051829109121277953	1	0	1	0	0	0	0	0	0	0	
'4890330078	destany23__		Thu Feb 11 01:06:59 +0000 2016	4839	252	196	2870			0	 smh i lost my juul last night \U0001f625 	  	http://twitter.com/destany23__/status/1046029886039707648			'1046029886039707648	1	0	0	0	0	0	1	0	0	0	
'45418545	DavidEMSeN		Sun Jun 07 20:39:12 +0000 2009	588	353	200	3316			0	 If I ever start hanging out in Vape shops please put me down 	  	http://twitter.com/DavidEMSeN/status/1043535294186893312			'1043535294186893312	1	0	0	0	0	0	0	1	0	0	
'841242868832436224	vapetraveller		Mon Mar 13 11:01:44 +0000 2017	92	292	171	79538			0	 Happy to say I'm now 3 months cigarette free thanks to this lil'guy!! I'm still new to the vape world -  what should I do next to improve the experience? via /r/VapePorn https://t.co/Usab7KZ8Py https://t.co/oh4qTweoKU 	  	http://twitter.com/vapetraveller/status/1044114423785242625			'1044114423785242625	1	0	0	0	1	0	1	0	0	0	
'2973040762	Vapofolies		Sun Jan 11 12:56:47 +0000 2015	59	429	767	13360			0	 M\xe9langeur Nitecore NFF01 https://t.co/EuXf4irDTT # vapote # vape # vaping # deals # bonplan # vapofolies # ecig 	  	http://twitter.com/Vapofolies/status/1042263452193050625			'1042263452193050625	1	1	0	0	0	0	0	0	0	0	
'453571567	AlmostNusso		Tue Jan 03 02:13:18 +0000 2012	14460	3217	371	19425			0	 Also someone come to Ronjos and visit me and buy some vape shit or don't idc u need an ID if u wanna buy shit tho 	  	http://twitter.com/AlmostNusso/status/1045683863689867266			'1045683863689867266	1	0	0	1	0	0	1	0	0	0	
'2973040762	Vapofolies		Sun Jan 11 12:56:47 +0000 2015	59	429	767	13438			0	 Atomiseur Dejavu RDTA DJV https://t.co/gA6bwne2Rg # vapote # vape # vaping # deals # bonplan # vapofolies # ecig 	  	http://twitter.com/Vapofolies/status/1042734477011812352			'1042734477011812352	1	1	0	0	0	0	0	0	0	0	
'946631045818077184	savsag		Fri Dec 29 06:36:43 +0000 2017	9400	1244	169	2807			0	 i think i lost my juul again\U0001f494 	  	http://twitter.com/savsag/status/1046803722121236483			'1046803722121236483	1	0	0	0	0	0	1	0	0	0	
'870534462	kate3450		Tue Oct 09 20:21:05 +0000 2012	1	42	131	315			0	 Order from this link.  Best crayons ever haha. Seriously though get your kids off Juul but them Monq https://t.co/QrlLnvDogl 	  	http://twitter.com/kate3450/status/1043302594842644481			'1043302594842644481	1	0	0	0	0	0	0	1	0	0	
